epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.143,1.67516,2.25587,1.7222,0.21148,0.25362,0.14866,0.06203,2.09217,2.55163,2.1827,0.0804321,0.000399345,0.000399345
2,366.696,1.71293,2.24265,1.79453,0.27732,0.14024,0.12173,0.05722,1.96697,2.78029,2.08214,0.0608057,0.000772967,0.000772967
3,549.155,1.69012,2.17436,1.76496,0.26522,0.258,0.2023,0.09201,1.90896,2.29162,2.01469,0.0411529,0.00112019,0.00112019
4,729.056,1.66707,2.09509,1.74471,0.27431,0.23196,0.2026,0.09841,1.8566,2.25657,1.9945,0.0214737,0.00144101,0.00144101
5,908.296,1.6384,2.03574,1.71771,0.27801,0.26616,0.23107,0.10365,1.91099,2.10871,2.03634,0.00176816,0.00173543,0.00173543
6,1087.26,1.61429,2.00185,1.7148,0.32633,0.27265,0.25745,0.12222,1.85766,2.04242,1.95959,0.00167,0.00167,0.00167
7,1267.75,1.5769,1.90913,1.66617,0.27334,0.27599,0.22961,0.1235,1.70375,2.0501,1.81951,0.001604,0.001604,0.001604
8,1443.91,1.54598,1.85778,1.64903,0.36582,0.32493,0.30202,0.17367,1.5294,1.74485,1.69405,0.001538,0.001538,0.001538
9,1622.37,1.54162,1.781,1.62702,0.39523,0.31539,0.30247,0.17923,1.49907,1.7291,1.65529,0.001472,0.001472,0.001472
10,1798.51,1.50913,1.7654,1.61804,0.41045,0.34263,0.33389,0.18712,1.54375,1.62638,1.695,0.001406,0.001406,0.001406
11,1974.69,1.47644,1.71365,1.60616,0.41597,0.33408,0.33669,0.19903,1.50686,1.60799,1.66831,0.00134,0.00134,0.00134
12,2149.95,1.4723,1.68707,1.59001,0.45684,0.34376,0.37099,0.22275,1.46576,1.52393,1.63301,0.001274,0.001274,0.001274
13,2325.92,1.46046,1.64107,1.58774,0.44477,0.35045,0.3503,0.2075,1.4956,1.59057,1.64814,0.001208,0.001208,0.001208
14,2501.03,1.43395,1.61358,1.57301,0.4508,0.37214,0.37503,0.22617,1.44486,1.48163,1.6171,0.001142,0.001142,0.001142
15,2677.44,1.43215,1.58688,1.56389,0.45184,0.36969,0.3739,0.22838,1.42228,1.42712,1.60619,0.001076,0.001076,0.001076
16,2855.71,1.40787,1.54485,1.54756,0.44826,0.35723,0.34159,0.20749,1.40314,1.56343,1.57777,0.00101,0.00101,0.00101
17,3031.56,1.41778,1.53784,1.54327,0.46735,0.38354,0.39519,0.24794,1.38004,1.37549,1.54424,0.000944,0.000944,0.000944
18,3211.33,1.4119,1.51359,1.53735,0.47363,0.39446,0.40667,0.25748,1.36597,1.35512,1.54149,0.000878,0.000878,0.000878
19,3386.77,1.37922,1.46595,1.51985,0.49214,0.38559,0.42176,0.25665,1.40296,1.32744,1.57038,0.000812,0.000812,0.000812
20,3562.86,1.38799,1.46986,1.52659,0.49559,0.39919,0.43198,0.28034,1.30681,1.31312,1.49521,0.000746,0.000746,0.000746
21,3744.2,1.29135,1.47782,1.56833,0.46843,0.39934,0.39107,0.24888,1.34515,1.41996,1.5195,0.00068,0.00068,0.00068
22,3921.25,1.26817,1.41482,1.56019,0.45062,0.38089,0.39408,0.25322,1.33548,1.3764,1.51541,0.000614,0.000614,0.000614
23,4095.33,1.24574,1.38122,1.53941,0.50583,0.39324,0.42239,0.27388,1.32945,1.32333,1.52029,0.000548,0.000548,0.000548
24,4268.16,1.23557,1.3444,1.52422,0.52273,0.39793,0.44476,0.29069,1.32492,1.27705,1.50511,0.000482,0.000482,0.000482
25,4444.72,1.2275,1.30698,1.51671,0.52139,0.42492,0.45737,0.29427,1.32452,1.23794,1.49758,0.000416,0.000416,0.000416
26,4619.95,1.22408,1.2768,1.51722,0.51887,0.42817,0.47192,0.31591,1.24675,1.21403,1.45303,0.00035,0.00035,0.00035
27,4792.99,1.20323,1.22792,1.48803,0.54057,0.42375,0.48145,0.32353,1.24998,1.21139,1.45261,0.000284,0.000284,0.000284
28,4967.92,1.19151,1.19165,1.48049,0.57352,0.40411,0.47609,0.31874,1.25051,1.19221,1.44467,0.000218,0.000218,0.000218
29,5141.07,1.17851,1.16688,1.46893,0.53715,0.43807,0.48967,0.33275,1.22167,1.17172,1.41953,0.000152,0.000152,0.000152
30,5313.87,1.16621,1.15409,1.45943,0.56203,0.42813,0.48981,0.3322,1.22986,1.15913,1.42922,8.6e-05,8.6e-05,8.6e-05
