tiempo,x_real,y_real,x_observado,y_observado,x_estimado,y_estimado,vx_real,vy_real,vx_estimado,vy_estimado
2.9000000000000004,4.159131229698008,4.929921643814509,3.4039177485237087,10.709018879796592,4.921596286718613,5.867234262233472,-1.1564864581252587,1.6295447238257044,-0.09690244424493137,2.3097169647330813
3.0,4.04046479375932,5.0916249125786415,1.7144696471601204,5.947960678618392,4.51539332212679,6.079574105766464,-1.2165932285810221,1.6034448448711558,-0.2965720992004866,2.300334628534118
3.1,3.915812583981803,5.25061061278874,4.018657046190844,6.953959073059638,4.429473955817252,6.387223132558163,-1.2761644284055285,1.5751971910397344,-0.32409173539344566,2.3382989054044594
3.2,3.785231908078214,5.406664350786588,2.1917763374890566,6.837666996026392,4.138781025722371,6.64642288833434,-1.335125055571229,1.544810724523611,-0.4469655338077153,2.3503681572549993
3.3000000000000003,3.6487875728675574,5.559572757693462,4.35917621882033,6.536659634652159,4.12430134848706,6.842157156430074,-1.3934001734608104,1.5122969813707199,-0.43296671768894174,2.3321601487692813
3.4000000000000004,3.506551873386052,5.709123747060732,2.1274155220353475,5.236219880100214,3.864080975004092,6.871156261629812,-1.450914997992001,1.4776700753307637,-0.5309502864344224,2.2399161871817204
3.5,3.358604573269157,5.855106772759615,5.683506180795466,6.993560603499516,4.0137093419252095,7.084149805491348,-1.5075949850231019,1.4409466987845532,-0.4415657054834041,2.2350669278764954
3.6,3.2050328763814315,5.997313086817643,2.0301529378770757,4.838075265011286,3.764664398465162,7.046756980852304,-1.5633659179423298,1.4021461207435548,-0.5298495147477618,2.122648624649562
3.7,3.045931389680691,6.135535996908326,2.562839115372178,5.780308086798312,3.5931466858000536,7.106454058442026,-1.6181539953438073,1.3612901819097623,-0.5798167671979669,2.0583339748761693
3.8000000000000003,2.88140207731267,6.269571123199595,4.101677903367174,5.54152580145594,3.5922946805905074,7.133716001222745,-1.6718859186924617,1.318403286789085,-0.5562306081615443,1.9846102054453134
3.9000000000000004,2.711554205942199,6.399216654266143,0.8652577312912659,6.522027863345627,3.2731598489235783,7.252262845866149,-1.7244889798797725,1.2735123928549452,-0.6628894058898124,1.9522642123401839
4.0,2.5365042813367156,6.5242736017705845,2.8776941832429097,9.996261451780848,3.175086161231084,7.693594392825503,-1.775891148572284,1.2266469967616311,-0.6755151684485543,2.0500238349597386
4.1000000000000005,2.356375976227742,6.644546053618469,4.317090107651384,3.843648264730847,3.221943879806103,7.515047966062132,-1.8260211592543074,1.1778391176103842,-0.6308702601621488,1.9003549608120676
4.2,2.171300049485854,6.759841425292661,-0.23992480235598723,7.789231710854431,2.843711621912326,7.712885940217856,-1.8748085978667683,1.1271232772747508,-0.7517942648070038,1.903348840457027
4.3,1.9814142566543884,6.869970709073419,2.258365044452845,4.4508969022889415,2.722128672663061,7.5892061108300135,-1.9221839879438463,1.0745364777942434,-0.7693190200728528,1.7847580379818646
4.4,1.7868632518970848,6.97474872085151,2.1766874432697203,6.26685092216736,2.603365667930787,7.633679426846897,-1.9680788761491796,1.020118175849296,-0.7848821644697556,1.7349027883941268
