tiempo,posicion_real,posicion_observada,posicion_estimada,velocidad_real,velocidad_estimada,incertidumbre
4.800000000000001,9.058631805511506,9.745868384648428,11.945909461128945,-2.725432532817038,1.792340707444281,0.5713605821429067
4.9,8.778647021345037,5.252566710619569,11.573755411633565,-2.8695518223597105,1.610200788070949,0.5664986726185645
5.0,8.484721441039564,9.132889379829155,11.529457208089433,-3.0040492371543515,1.543288672524337,0.5618231953784671
5.1000000000000005,8.177837173914167,7.407672613081534,11.351731313333149,-3.1285386141246097,1.4364538733808228,0.5573272037563359
5.2,7.8590137182146425,6.505169717602725,11.1138583758367,-3.242658805076717,1.3151892854905463,0.5530041839570217
5.300000000000001,7.5293054128988235,8.752657990580559,11.057654262981323,-3.3460745793817193,1.2562052347244732,0.5488480142561399
5.4,7.189798802338299,9.2517978473302,11.03992794956055,-3.438477461877527,1.2116519721027803,0.5448529280398101
5.5,6.841609920523318,8.704170158755716,10.981310518434288,-3.519586503896255,1.1563446660496246,0.5410134802776753
5.6000000000000005,6.485881501559048,4.80744645511377,10.642972697217841,-3.58914898548937,1.01802961988227,0.5373245170768716
5.7,6.123780123425444,5.505355371723015,10.371568721160502,-3.646941047096135,0.905348844213974,0.53378114801119
5.800000000000001,5.756493292139821,6.419020154946948,10.177772157169025,-3.6927682490758684,0.8202286771911439,0.5303787209595124
5.9,5.38522647361027,7.336316727854989,10.056724446238434,-3.726466057705742,0.7599169185002103,0.5271127992217164
6.0,5.011200080598672,4.052851604908092,9.715403143686588,-3.7479002564295083,0.6368909774657181,0.5239791407094567
6.1000000000000005,4.635646422324369,4.264328468996735,9.404896804782677,-3.7569672813288335,0.5273345781418846,0.520973679034242
6.2,4.259806624332906,2.047136676320849,8.960349377420128,-3.7535944799792897,0.3826699522858388,0.5180925063366171
6.300000000000001,3.884927526328511,1.4925142781671692,8.500273262322178,-3.7377402930435277,0.23855160909748907,0.515331857718536
6.4,3.5122585657242,5.137310210512596,8.30157290619203,-3.7093943581479705,0.17453977823032357,0.5126880971565836
6.5,3.1430486546989167,5.855528711840563,8.158738831161259,-3.6685775357834283,0.12866786412350195,0.5101577047869406
6.6000000000000005,2.7785430585675144,2.6345228154068465,7.814744602805043,-3.6153418571645712,0.027007139301784555,0.5077372654641972
6.7,2.4199802832660025,4.427046079050051,7.600923510766302,-3.549770394179148,-0.034417195587086696,0.5054234585055761
6.800000000000001,2.0685889797316848,2.7918610298269533,7.293257917504597,-3.4719770517514736,-0.1203947203860375,0.5032130485400641
6.9,1.7255848729157077,0.4353453637054592,6.851461756474419,-3.3821062831394144,-0.2414341801613772,0.5011028773885763
7.0,1.3921677231038019,2.11495893412063,6.533867130145294,-3.2803327288765427,-0.3238298845712697,0.49908985690678087
